episode,reward
0,1306.2169671286072
1,1483.8980561881551
2,1468.1353171829048
3,1364.441439726837
4,1344.1703191819488
5,1330.6696332097933
6,1276.2066339437586
7,1227.697677886539
8,1162.171883289088
9,1288.4584463559215
10,1135.6293245290117
11,1177.4276773504942
12,1326.4795182953696
13,1195.7031736416147
14,1431.8897277358099
15,1356.1439809552887
16,1387.3257388275129
17,1411.5140426100807
18,1439.1843813254552
19,1422.6324438277788
20,1431.0852507315974
21,1388.9735973607787
22,1376.3419712169036
23,1403.9233516397637
24,1452.0795589731472
25,1461.5490107018202
26,1440.5284367736476
27,1365.842879643984
28,1432.6338950555482
29,1414.3638399332285
30,1459.6041368214633
31,1393.5616004401838
32,1447.13266800296
33,1446.228941059152
34,1475.353767157872
35,1427.7204508136615
36,1454.6370773827196
37,1445.2356332370293
38,1437.3659262857957
39,1445.3537673588075
40,1439.052187215289
41,1431.8594188321324
42,1407.535103492984
43,1443.307719896193
44,1417.217416266758
45,1349.0103770874377
46,1426.6729672557103
47,1432.385872118702
48,1436.7495046882846
49,1421.4826371770857
50,1429.020502222101
51,1436.6849738568549
52,1423.9769650100593
53,1432.3915655768837
54,1431.9248436998841
55,1408.384610448257
56,1437.9206046908812
57,1436.9628207991593
58,1424.3047445947852
59,1443.9047750824602
60,1455.437096902836
61,1415.8786056275617
62,1410.8471549504352
63,1418.696494011092
64,1434.4730643138776
65,1397.5435509487022
66,1426.0694384441967
67,1429.0882401293422
68,1398.466113539463
69,1372.6654568696072
70,1339.3860840387695
71,1424.1000907853781
72,1415.9590961814638
73,1307.5429141117952
74,1385.6696931306244
75,1376.6912599892796
76,1401.9144681987073
77,1452.5544101592043
78,1347.6681567738974
79,1434.7910479537136
80,1375.1718369372145
81,1437.3789767977082
82,1419.6272321701028
83,1415.2561263120563
84,1421.3243180637903
85,1267.7170000686558
86,1427.2816984186381
87,1446.272365126197
88,1373.6954549281434
89,1413.2650016810633
90,1453.0153988270167
91,1442.8789673380027
92,1398.4679850057805
93,1420.8735054310646
94,1424.178024212185
95,1442.9678284201748
96,1408.2188129529438
97,1407.4023281878144
98,1407.1683356048025
99,1425.4296289265974
100,1413.590964652665
101,1416.4777949921065
102,1430.3595940817445
103,1414.0104652258635
104,1414.679647115519
105,1389.3160427740197
106,1426.1585557893243
107,1409.4374814123541
108,1229.75401956288
109,1431.191941511442
110,1440.5075732907817
111,1451.2475388025093
112,1437.5442189298947
113,1420.0226256243884
114,1451.2088294002872
115,1305.784044673466
116,1330.9623593140884
117,1472.1201436692206
118,1431.4028865409846
119,1424.0174236026573
120,1429.7419235328841
121,1409.4200420038692
122,1414.692549225487
123,1416.1545671735814
124,1431.9182480100576
125,1408.8654145789847
126,1200.456581938354
127,1417.3466845150367
128,1436.954401932022
129,1426.1809443829104
130,1425.6214251642505
131,1421.6622830391136
132,1427.2174458206175
133,1476.1195383802444
134,1413.693570789587
135,1307.077273740911
136,1435.8458469596026
137,1447.5693135625843
138,1453.0793838929574
139,1352.037880877778
140,1436.22247015507
141,1223.1513552437657
142,1221.8484278372434
143,1436.9307350674032
144,1437.6469950067653
145,1425.0645929947452
146,1181.1923160747735
147,1429.6796009477262
148,1434.7295652084417
149,1434.0783748526935
150,1395.9693806016928
151,1341.6472438859705
152,1377.5764898095554
153,1453.2433377009515
154,1400.5966799676496
155,1424.6973334535587
156,1463.5067727606522
157,1450.414731774796
158,1447.9331570911497
159,1451.512877089541
160,1259.1384471187027
161,1345.2134214508035
162,1429.4116579169627
163,1455.9949499444465
164,1438.6419754722801
165,1421.7324257367152
166,1404.5256677999355
167,1448.8096182518561
168,1416.558264859539
169,1418.3582710480246
170,1428.0744819771026
171,1438.276751769805
172,1336.4525294297878
173,1385.357157335166
174,1449.565642921995
175,1383.1979717240374
176,1420.8639856187351
177,1412.8961215409215
178,1451.2593601785454
179,1408.942799836375
180,1431.6454958609593
181,1439.9493076736528
182,1426.4115389797453
183,1412.9062036637474
184,1388.1459344050893
185,1444.5446558590397
186,1414.62958317355
187,1442.9583665866364
188,1437.1069592988727
189,1453.5600900424122
190,1426.6082717644051
191,1428.8845872690783
192,1472.602345967951
193,1432.3717211426174
194,1405.460944388228
195,1412.0990282512296
196,1391.775983195788
197,1419.3818151721282
198,1408.5720103443507
199,1223.1942778289188
200,1338.907367497911
201,1302.2990981020068
202,1435.0417590353754
203,1451.9046887381294
204,1444.8033455576033
205,1177.402748394634
206,1414.1268653394916
207,1392.2383184246733
208,1407.9749643119412
209,1460.7779770544028
210,1420.1722156575136
211,1365.2671684925742
212,1400.1914893408475
213,1416.9225096261878
214,1323.125314716691
215,1349.9047090748188
216,1355.7104972065617
217,1347.4468950549294
218,1446.0603829738272
219,1427.4150108687627
220,1379.8421718484653
221,1367.6348014895427
222,1422.318565073522
223,1439.7826080328946
224,1394.2152681671294
225,1413.4372365942365
226,1433.8962252876577
227,1448.2008738847105
228,1427.6513200860757
229,1387.6261273814655
230,1411.061473732033
231,1422.7676691411373
232,1379.6992499162177
233,1290.9215519109043
234,1434.0367478563908
235,1286.2502060809766
236,1446.8537709972543
237,1386.7265758781014
238,1419.2324654046063
239,1428.1736261408143
240,1414.9300289184148
241,1410.078786680266
242,1415.0323112316642
243,1424.4165849541153
244,1361.7311240591166
245,1441.114764095958
246,1403.192118122929
247,1447.0408790855852
248,1402.001827551163
249,1404.9269944418206
250,1442.8537667804067
251,1409.8119241899162
252,1423.0003541767724
253,1416.8063476298346
254,1452.7905408183574
255,1430.5291614987946
256,1399.7319085643887
257,1448.2914781291709
258,1427.9173766511383
259,1414.6918939028703
260,1411.2768230199658
261,1240.842468744608
262,1434.1593226323682
263,1372.7983438098968
264,1427.9233446733144
265,1457.6109366254955
266,1364.379050318895
267,1432.088465765536
268,1451.5582070444264
269,1407.9936463448578
270,1452.5818127838847
271,1453.5595063978549
272,1462.9010921049623
273,1462.2282082079264
274,1426.4006756657002
275,1434.4676176833977
276,1362.6532645537131
277,1452.8743826628408
278,1284.7008607108583
279,1436.887658145752
280,1433.6800152986489
281,1452.5091061074772
282,1373.7664289394754
283,1446.9308833056923
284,1395.9436129530354
285,1451.5432744041836
286,1443.3537702711385
287,1427.7159148951025
288,1392.909626343146
289,1412.4976477456557
290,1354.237584322117
291,1446.8418311402647
292,1119.9519787605648
293,1413.0801353667832
294,1435.5812443043512
295,1427.6006452457248
296,1397.9168088867825
